date,nav,market price
20250130,50.3237,50.28
20250129,49.7022,49.62
20250128,48.1506,48.14
20250127,48.2236,48.18
20250124,49.8739,49.85
20250123,49.0109,49.13
20250122,49.5819,49.77
20250121,50.2927,50.37
20250120,49.0307,49.12
20250117,50.0613,50.1
20250116,47.7867,47.76
20250115,47.1564,47.2
20250114,45.7635,45.84
20250113,44.5414,44.54
20250110,45.198,45.17
20250109,43.7328,43.73
20250108,44.6635,44.69
20250107,45.838,45.79
20250106,48.3925,48.48
20250103,46.9554,46.96
20250102,46.2828,46.32
20241231,44.3573,44.42
20241230,44.6917,44.78
20241227,44.9971,45.35
20241224,46.8659,47.08
20241223,44.2967,44.2
20241220,45.8318,45.81
20241219,45.9017,45.79
20241218,48.1081,48.63
20241217,50.519,50.53
20241216,49.9161,49.88
20241213,47.8609,47.93
20241212,46.9933,47.07
20241211,47.4749,47.56
20241210,45.2065,45.28
20241209,45.1413,45.3
20241206,47.439,47.57
20241205,45.9893,46.28
20241204,46.0308,46.02
20241203,44.4966,44.54
20241202,44.4357,44.47
20241129,45.1013,45.17
20241128,43.9265,44.1
20241127,44.7835,44.85
20241126,42.3437,42.38
20241125,43.8468,43.98
20241122,45.9116,45.98
20241121,45.376,45.65
20241120,43.6116,43.67
20241119,42.7302,42.79
20241118,42.3798,42.51
20241115,42.6045,42.7
20241114,40.8137,41
20241113,41.5938,41.62
20241112,41.4597,41.37
20241111,40.1033,40.22
20241108,35.3213,35.41
20241107,35.1714,35.15
20241106,35.226,35.21
20241105,31.8163,31.83
20241104,30.987,31.25
20241101,31.9758,32.25
20241031,32.2683,32.26
20241030,33.0785,33.08
20241029,33.5483,33.42
20241028,31.9862,32.05
20241025,30.75,30.73
20241024,31.2974,31.35
20241023,30.3973,30.44
20241022,30.8789,30.86
20241021,31.0769,31.06
20241018,31.3684,31.38
20241017,30.526,30.51
20241016,30.8642,30.86
20241015,30.5805,30.57
20241011,28.7323,28.74
20241010,27.1628,27.2
20241009,27.7049,27.73
20241008,28.1508,28.18
20241007,28.5805,28.63
20241004,28.0508,28.1
20241003,27.3944,27.43
20241002,26.9509,26.92
20241001,27.622,27.82
20240930,28.4507,28.44
20240927,29.4198,29.72
20240926,28.926,29.19
20240925,28.2363,28.23
20240924,28.6199,28.66
20240923,28.324,28.36
20240920,28.2622,28.27
20240919,28.4287,28.56
20240918,27.1195,27.17
20240917,27.0502,27.03
20240916,26.09,26.11
20240913,26.8986,26.95
20240912,26.272,26.32
20240911,25.9318,25.93
20240910,26.1458,26.15
20240909,25.6803,25.7
20240906,24.0724,24.12
20240905,25.0723,25.12
20240904,26.0088,25.98
20240903,26.0585,26.09
20240830,26.2522,26.22
20240829,26.4754,26.5
20240828,26.373,26.3
20240827,27.6075,27.66
20240826,28.3042,28.3
20240823,28.4824,28.52
20240822,27.1976,27.2
20240821,27.7295,27.8
20240820,26.8707,26.88
20240819,26.7101,26.7
20240816,27.0935,27.13
20240815,26.0149,25.97
20240814,26.8196,26.81
20240813,27.6555,27.67
20240812,26.8943,26.89
20240809,27.6329,27.65
20240808,27.0895,27.11
20240807,24.9645,24.98
20240806,25.9413,26
20240802,28.7704,28.8
20240801,29.1332,29.16
20240731,29.8475,29.89
20240730,30.2546,30.29
20240729,30.8925,30.86
20240726,31.1587,31.3
20240725,29.6426,29.67
20240724,30.0605,30.08
20240723,29.9298,29.93
20240722,31.122,31.16
20240719,30.6287,30.62
20240718,28.9134,28.91
20240717,29.3261,29.31
20240716,29.5232,29.55
20240715,28.7378,28.82
20240712,26.0683,26.08
20240711,25.9564,25.92
20240710,25.9404,25.92
20240709,26.1357,26.18
20240708,25.5619,25.57
20240705,25.5377,25.59
20240704,26.307,26.29
20240703,26.9752,26.95
20240702,28.0345,28.06
20240628,27.2365,27.58
20240627,27.8921,27.91
20240626,27.7291,27.71
20240625,28.102,28.09
20240624,26.8589,26.89
20240621,29.1576,29.2
20240620,29.4617,29.59
20240619,29.4884,29.55
20240618,29.252,29.29
20240617,30.3073,30.31
20240614,29.8214,29.85
20240613,30.3427,30.36
20240612,30.7068,30.76
20240611,30.7833,30.73
20240610,31.6849,31.74
20240607,31.5944,31.6
20240606,31.9529,31.95
20240605,32.4073,32.67
20240604,31.9396,31.95
20240603,31.2701,31.34
20240531,30.6222,30.57
20240530,31.1154,31.13
20240529,30.5929,30.6
20240528,30.9751,30.92
20240527,31.3165,31.33
20240524,31.3437,31.54
20240523,30.5821,30.58
20240522,31.6154,31.6
20240521,31.4138,31.46
20240517,30.2327,30.34
20240516,29.4641,29.47
20240515,29.8033,29.88
20240514,27.8742,27.9
20240513,28.6219,28.69
20240510,27.5161,27.55
20240509,28.3435,28.32
20240508,28.3597,28.31
20240507,28.6955,28.73
20240506,28.6603,28.69
20240503,28.1494,28.23
20240502,26.8899,26.98
20240501,26.0206,26
20240430,27.0611,27.03
20240429,28.5401,28.56
20240426,28.9646,28.92
20240425,29.314,29.31
20240424,29.0962,29.07
20240423,30.1337,30.17
20240422,30.2641,30.31
20240419,29.3548,29.4
20240418,29.0415,29.07
20240417,27.903,27.91
20240416,28.7742,28.81
20240415,29.0423,29.03
20240412,30.6468,30.62
20240411,31.9509,32.07
20240410,31.762,31.76
20240409,31.0753,31.12
20240408,32.2773,32.36
20240405,30.4521,30.45
20240404,30.8155,30.85
20240403,29.6157,29.66
20240402,29.7956,29.76
20240401,31.4114,31.46
20240328,31.8719,32
20240327,30.9477,30.97
20240326,31.3551,31.34
20240325,32.0428,32.09
20240322,28.964,28.93
20240321,29.3986,29.34
20240320,29.471,29.45
20240319,29.0786,29
20240318,30.1136,30.11
20240315,30.9032,31.11
20240314,31.1545,31.51
20240313,32.8018,32.94
20240312,31.9934,32.09
20240311,32.228,32.34
20240308,31.0108,31.06
20240307,30.2809,30.38
20240306,30.2081,30.21
20240305,28.0194,27.96
20240304,30.5731,30.56
20240301,28.4162,28.48
20240229,28.0499,28.07
20240228,27.2357,27.2
20240227,25.5365,25.68
20240226,24.4612,24.54
20240223,22.9217,22.95
20240222,23.3053,23.35
20240221,22.8467,22.9
20240220,23.398,23.5
20240216,23.2409,23.3
20240215,23.1796,23.35
20240214,23.2997,23.52
20240213,22.3032,22.32
20240212,22.4532,22.48
20240209,21.2771,21.31
20240208,20.3738,20.38
20240207,19.7498,19.77
20240206,19.3311,19.34
20240205,19.0741,19.11
20240202,19.2019,19.21
20240201,19.13,19.17
20240131,19.0343,19.02
20240130,19.4341,19.43
20240129,19.2498,19.27
20240126,18.7494,18.79
20240125,17.7664,17.77
20240124,17.7972,17.89
20240123,17.5122,17.54
20240122,17.9871,18.01
20240119,18.5536,18.5
20240118,18.3486,18.31
20240117,19.1521,19.2
20240116,19.3682,19.42
20240115,19.151,19.23
20240112,19.4993,19.48
20240111,20.6107,20.72
